row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
140,UHA-0444,11,6.30E-04,2.46E-06,UHA-0260,11,11,3,-8.35E+00,UHA-0257,11,11,1,5.00E+00,5.00E+00,*,11,6,-5.00E-01,0.00E+00,
141,UHA-0445,11,1.59E-03,2.03E-06,UHA-0260,11,11,1,1.48E+00,UHA-0258,10,10,1,2.08E+00,2.08E+00,*,10,3,1.90E-03,1.90E-03,*
142,UHA-0446,11,2.04E-04,1.05E-07,UHA-0260,11,11,0,1.12E+01,UHA-0261,11,11,2,1.31E+00,1.31E+00,+,11,4,-5.03E+00,0.00E+00,
143,UHA-0447,11,1.68E-04,4.13E-06,UHA-0260,11,11,1,3.98E+00,UHA-0257,11,11,0,8.46E+00,8.46E+00,*,11,1,1.25E+01,1.25E+01,*
144,UHA-0448,11,2.11E-04,2.38E-08,UHA-0260,11,11,0,7.44E+00,UHA-0257,11,11,2,-2.71E+00,0.00E+00,,11,4,-6.67E+00,0.00E+00,
145,UHA-0449,11,1.81E-04,2.05E-06,UHA-0260,11,11,1,5.14E+00,UHA-0257,11,11,1,1.86E+00,1.86E+00,*,11,3,3.79E-01,3.79E-01,*
146,UHA-0450,11,1.03E-03,7.12E-08,UHA-0260,11,11,0,7.04E+00,UHA-0257,11,11,2,-1.44E+00,0.00E+00,,11,2,2.86E+00,2.86E+00,*
147,UHA-0451,11,6.39E-04,1.41E-05,UHA-0260,11,11,3,-6.47E+00,UHA-0257,11,11,1,2.48E+00,2.48E+00,*,11,5,1.36E+00,1.36E+00,*
148,UHA-0452,11,4.06E-04,9.22E-06,UHA-0260,11,11,2,-5.55E-01,UHA-0257,11,11,0,6.14E+00,6.14E+00,*,11,3,6.18E+00,6.18E+00,*
149,UHA-0453,11,1.43E-03,6.54E-07,UHA-0260,11,11,2,-6.11E+00,UHA-0257,11,11,1,5.01E+00,5.01E+00,*,11,5,-1.14E-02,0.00E+00,
150,UHA-0454,11,1.05E-03,1.24E-07,UHA-0257,11,11,0,5.47E+00,UHA-0260,11,11,1,5.86E+00,5.86E+00,*,11,1,9.98E+00,9.98E+00,*
151,UHA-0455,11,6.15E-04,1.56E-08,UHA-0257,11,11,1,6.88E-01,UHA-0260,11,11,2,1.63E+00,1.63E+00,*,11,5,-3.45E+00,0.00E+00,
152,UHA-0456,11,1.25E-03,3.45E-08,UHA-0257,11,11,1,-5.71E-01,UHA-0260,11,11,2,-9.81E-01,0.00E+00,,11,4,-1.46E+00,0.00E+00,
153,UHA-0457,11,6.99E-05,1.48E-06,UHA-0257,11,11,1,4.82E+00,UHA-0258,10,10,0,8.27E+00,8.27E+00,*,10,4,-2.78E+00,0.00E+00,
154,UHA-0458,11,8.27E-05,5.09E-07,UHA-0257,11,11,1,5.37E+00,UHA-0258,10,10,0,8.70E+00,8.70E+00,*,10,3,2.88E+00,2.88E+00,*
155,UHA-0459,11,3.58E-04,6.37E-06,UHA-0257,11,11,0,1.29E+01,UHA-0258,10,10,0,9.54E+00,9.54E+00,*,10,0,1.23E+01,1.23E+01,*
156,UHA-0460,11,3.21E-04,1.91E-06,UHA-0257,11,11,1,1.36E+00,UHA-0260,11,11,0,9.00E+00,9.00E+00,*,11,2,9.45E+00,9.45E+00,*
