row_names,Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
39,UHA-0129,12,UHA-0010,12,12,0,6.22E+00,UHA-0259,12,12,1,4.16E+00,3.02E+00,+,12,1,6.62E+00,4.90E+00,*
40,UHA-0130,12,UHA-0010,12,11,0,7.85E+00,UHA-0259,12,11,1,1.73E+00,0.00E+00,,11,1,4.09E+00,4.09E+00,*
41,UHA-0131,13,UHA-0010,12,12,0,8.29E+00,UHA-0016,10,10,0,4.99E+00,6.21E-01,-,10,1,2.38E+00,2.15E+00,+
42,UHA-0132,12,UHA-0010,12,11,0,7.52E+00,UHA-0263,12,12,0,8.64E+00,2.13E+00,+,12,3,-2.34E+00,0.00E+00,
43,UHA-0133,13,UHA-0010,12,12,0,8.95E+00,UHA-0263,12,12,0,9.83E+00,4.93E+00,*,12,2,1.83E+00,1.83E+00,+
44,UHA-0137,12,UHA-0010,12,11,0,7.85E+00,UHA-0259,12,11,1,1.73E+00,0.00E+00,,11,1,4.09E+00,4.09E+00,*
45,UHA-0138,13,UHA-0010,12,12,0,7.03E+00,UHA-0267,12,12,1,1.43E+00,0.00E+00,,12,3,-5.83E+00,0.00E+00,
46,UHA-0139,13,UHA-0010,12,12,2,-3.02E+00,UHA-0208,12,12,4,-1.01E+01,0.00E+00,,12,6,-1.04E+01,0.00E+00,
47,UHA-0140,13,UHA-0010,12,12,0,7.90E+00,UHA-0260,13,13,1,5.30E+00,0.00E+00,,13,2,1.33E+00,1.33E+00,+
48,UHA-0141,13,UHA-0010,12,12,0,7.15E+00,UHA-0257,12,12,3,-6.37E+00,0.00E+00,,12,3,-4.11E+00,0.00E+00,
49,UHA-0142,13,UHA-0010,12,12,0,7.01E+00,UHA-0257,12,12,2,-1.19E+00,0.00E+00,,12,2,5.76E-01,5.76E-01,+
50,UHA-0143,12,UHA-0010,12,11,0,7.82E+00,UHA-0259,12,11,1,2.70E+00,0.00E+00,,11,1,5.58E+00,5.58E+00,*
51,UHA-0144,12,UHA-0010,12,12,0,8.27E+00,UHA-0259,12,12,1,4.87E+00,2.88E+00,+,12,1,7.46E+00,7.46E+00,*
52,UHA-0146,11,UHA-0010,12,10,0,7.47E+00,UHA-0259,12,10,0,7.30E+00,4.42E+00,*,10,0,9.91E+00,9.91E+00,*
53,UHA-0148,12,UHA-0012,12,12,1,4.55E+00,UHA-0210,11,11,2,-1.69E+00,0.00E+00,,11,4,-6.41E+00,0.00E+00,
54,UHA-0150,12,UHA-0012,12,12,0,7.93E+00,UHA-0266,11,11,0,9.61E+00,9.61E+00,*,11,0,1.22E+01,1.22E+01,*
55,UHA-0151,11,UHA-0012,12,11,0,1.04E+01,UHA-0264,12,11,2,-3.17E+00,0.00E+00,,11,3,-6.27E+00,0.00E+00,
56,UHA-0152,13,UHA-0012,12,12,0,6.66E+00,UHA-0260,13,13,0,1.10E+01,8.51E+00,*,13,0,1.44E+01,1.44E+01,*
57,UHA-0153,12,UHA-0012,12,12,0,1.08E+01,UHA-0260,13,12,1,4.55E+00,4.55E+00,*,12,1,7.32E+00,7.32E+00,*
58,UHA-0154,12,UHA-0012,12,12,1,2.00E+00,UHA-0258,11,11,2,-1.97E+00,0.00E+00,,11,2,3.35E+00,3.39E-01,+
59,UHA-0155,12,UHA-0012,12,12,0,7.84E+00,UHA-0257,12,12,0,7.74E+00,3.98E+00,*,12,1,7.41E+00,7.41E+00,*
60,UHA-0156,11,UHA-0012,12,11,1,9.66E-01,UHA-0269,12,11,3,-8.93E+00,0.00E+00,,11,5,-1.15E+01,0.00E+00,
61,UHA-0157,12,UHA-0012,12,12,0,8.53E+00,UHA-0258,11,11,0,9.32E+00,9.32E+00,*,11,0,1.32E+01,1.29E+01,*
62,UHA-0158,12,UHA-0012,12,12,0,6.55E+00,UHA-0267,12,12,2,-9.88E-01,0.00E+00,,12,3,-3.04E+00,0.00E+00,
63,UHA-0159,13,UHA-0012,12,12,0,7.91E+00,UHA-0260,13,13,0,9.75E+00,6.05E+00,*,13,0,1.29E+01,7.13E+00,*
64,UHA-0160,12,UHA-0012,12,12,0,9.45E+00,UHA-0257,12,12,0,9.48E+00,7.46E+00,*,12,0,1.38E+01,1.38E+01,*
65,UHA-0161,13,UHA-0012,12,12,0,7.94E+00,UHA-0260,13,13,0,1.01E+01,8.67E+00,*,13,0,1.35E+01,1.35E+01,*
66,UHA-0162,11,UHA-0012,12,11,0,5.09E+00,UHA-0177,13,11,0,1.20E+01,9.14E+00,*,11,0,1.63E+01,1.55E+01,*
67,UHA-0163,12,UHA-0012,12,12,1,5.50E+00,UHA-0258,11,11,1,3.37E+00,3.37E+00,+,11,2,5.50E+00,5.50E+00,*
68,UHA-0164,11,UHA-0016,10,9,0,8.98E+00,UHA-0264,12,11,0,1.26E+01,9.59E+00,*,11,1,6.11E+00,1.14E+00,+
69,UHA-0165,11,UHA-0016,10,9,0,5.41E+00,UHA-0266,11,11,1,3.36E+00,0.00E+00,,11,1,4.13E+00,4.13E+00,*
70,UHA-0167,11,UHA-0016,10,9,2,-6.74E+00,UHA-0260,13,11,1,6.50E+00,0.00E+00,,11,4,2.22E+00,7.88E-01,+
