"Offspring_ID","Mother_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0436","UHA-0010","UHA-0265","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063121,41.811813,"704-46*16",TRUE,"704-46","704-46",637.63705868461,FALSE
"UHA-0437","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0438","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0441","UHA-0260","UHA-0261","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0443","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0445","UHA-0260","UHA-0258","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"570-78","549-82",53.7947062909681,FALSE
"UHA-0447","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0449","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0450","UHA-0260","UHA-0257","Q. muehlenbergii",-88.066314,41.813805,"570-78*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",52.0859387345233,FALSE
"UHA-0454","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0458","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0459","UHA-0257","UHA-0258","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0460","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387345233,FALSE
