"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"124",125,"UHA-0429",11,0.0015,4.86e-07,"UHA-0012",11,11,0,10.9,"UHA-0258",10,10,0,8.81,8.76,"*",10,0,14.1,14.1,"*"
"126",127,"UHA-0431",11,7.17e-05,6.03e-08,"UHA-0012",11,11,1,8.94,"UHA-0260",11,11,2,-1.77,0,"",11,3,1.95,1.95,"*"
"128",129,"UHA-0433",11,0.00206,9.43e-07,"UHA-0012",11,11,0,6.34,"UHA-0258",10,10,1,1.71,1.71,"*",10,2,2.3,2.3,"*"
"131",132,"UHA-0436",11,0.000245,1.64e-06,"UHA-0010",10,10,0,11.3,"UHA-0265",11,11,1,4.08,2.06,"*",11,2,0.306,0.306,"*"
"132",133,"UHA-0437",11,0.00062,1.83e-07,"UHA-0010",10,10,1,1.89,"UHA-0259",10,10,1,1.3,0,"",10,3,1.39,1.39,"*"
"133",134,"UHA-0438",11,0.000852,7.48e-07,"UHA-0010",10,10,1,2.09,"UHA-0259",10,10,1,0.418,0.418,"+",10,3,0.912,0.912,"*"
"136",137,"UHA-0441",11,0.000453,4.73e-07,"UHA-0260",11,11,1,4.44,"UHA-0261",11,11,0,11.2,10.1,"*",11,2,10,10,"*"
"138",139,"UHA-0443",11,0.000994,3.55e-05,"UHA-0260",11,11,2,1.81,"UHA-0257",11,11,0,5.6,4.3,"*",11,3,5.61,5.61,"*"
"140",141,"UHA-0445",11,0.00159,2.03e-06,"UHA-0260",11,11,1,1.48,"UHA-0258",10,10,1,2.08,2.08,"*",10,3,0.0019,0.0019,"*"
"142",143,"UHA-0447",11,0.000168,4.13e-06,"UHA-0260",11,11,1,3.98,"UHA-0257",11,11,0,8.46,8.46,"*",11,1,12.5,12.5,"*"
"144",145,"UHA-0449",11,0.000181,2.05e-06,"UHA-0260",11,11,1,5.14,"UHA-0257",11,11,1,1.86,1.86,"*",11,3,0.379,0.379,"*"
"145",146,"UHA-0450",11,0.00103,7.12e-08,"UHA-0260",11,11,0,7.04,"UHA-0257",11,11,2,-1.44,0,"",11,2,2.86,2.86,"*"
"149",150,"UHA-0454",11,0.00105,1.24e-07,"UHA-0257",11,11,0,5.47,"UHA-0260",11,11,1,5.86,5.86,"*",11,1,9.98,9.98,"*"
"153",154,"UHA-0458",11,8.27e-05,5.09e-07,"UHA-0257",11,11,1,5.37,"UHA-0258",10,10,0,8.7,8.7,"*",10,3,2.88,2.88,"*"
"154",155,"UHA-0459",11,0.000358,6.37e-06,"UHA-0257",11,11,0,12.9,"UHA-0258",10,10,0,9.54,9.54,"*",10,0,12.3,12.3,"*"
"155",156,"UHA-0460",11,0.000321,1.91e-06,"UHA-0257",11,11,1,1.36,"UHA-0260",11,11,0,9,9,"*",11,2,9.45,9.45,"*"
