row_names,Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
39,UHA-0129,9,UHA-0010,9,9,0,4.72E+00,UHA-0259,9,9,1,3.06E+00,2.21E+00,+,9,1,5.80E+00,4.89E+00,*
40,UHA-0130,8,UHA-0010,9,8,0,6.36E+00,UHA-0259,9,8,1,6.28E-01,0.00E+00,,8,1,3.27E+00,3.27E+00,+
41,UHA-0131,9,UHA-0010,9,9,0,7.51E+00,UHA-0016,7,7,0,3.09E+00,0.00E+00,,7,1,1.28E+00,1.28E+00,+
42,UHA-0132,8,UHA-0010,9,8,0,6.02E+00,UHA-0263,8,8,0,7.44E+00,2.46E+00,+,8,3,-3.58E+00,0.00E+00,
43,UHA-0133,9,UHA-0010,9,9,0,8.17E+00,UHA-0263,8,8,0,7.26E+00,4.58E+00,*,8,2,-3.71E-01,0.00E+00,
44,UHA-0137,8,UHA-0010,9,8,0,6.36E+00,UHA-0259,9,8,1,6.28E-01,0.00E+00,,8,1,3.27E+00,3.27E+00,+
45,UHA-0138,9,UHA-0010,9,9,0,6.25E+00,UHA-0345,9,9,2,-1.43E+00,0.00E+00,,9,2,1.49E+00,1.49E+00,+
46,UHA-0139,9,UHA-0010,9,9,2,-2.36E+00,UHA-0282,9,9,1,2.96E+00,2.96E+00,+,9,3,2.80E+00,2.80E+00,+
47,UHA-0140,9,UHA-0010,9,9,0,7.21E+00,UHA-0260,9,9,1,2.83E+00,0.00E+00,,9,2,-8.36E-01,0.00E+00,
48,UHA-0141,9,UHA-0010,9,9,0,7.85E+00,UHA-0266,8,8,2,-3.07E+00,0.00E+00,,8,3,-5.77E+00,0.00E+00,
49,UHA-0142,9,UHA-0010,9,9,0,6.59E+00,UHA-0261,9,9,0,5.39E+00,4.04E+00,*,9,2,-1.76E+00,0.00E+00,
