"","row_names","Offspring_ID","Loci_typed","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"59",59,"UHA-0155",8,"UHA-0012",8,8,0,6.09,"UHA-0257",8,8,0,6.23,4.66,"*",8,1,5.22,5.22,"*"
"61",61,"UHA-0157",8,"UHA-0012",8,8,0,6.78,"UHA-0258",8,8,0,7.13,7.13,"*",8,0,10.6,10.6,"*"
"62",62,"UHA-0158",8,"UHA-0012",8,8,0,5.47,"UHA-0339",9,8,2,-0.758,0,"",8,2,0.956,0.956,"+"
"63",63,"UHA-0159",9,"UHA-0012",8,8,0,6.15,"UHA-0260",9,9,0,7.28,5.38,"*",9,0,10.1,6.46,"*"
"64",64,"UHA-0160",8,"UHA-0012",8,8,0,8.38,"UHA-0257",8,8,0,6.66,4.75,"*",8,0,10.1,10.1,"*"
"65",65,"UHA-0161",9,"UHA-0012",8,8,0,5.5,"UHA-0260",9,9,0,8.33,5.16,"*",9,0,11.7,11.7,"*"
"66",66,"UHA-0162",7,"UHA-0012",8,7,0,4.7,"UHA-0177",9,7,0,7.4,3.92,"*",7,0,9.62,8.26,"*"
"67",67,"UHA-0163",8,"UHA-0012",8,8,1,3.75,"UHA-0258",8,8,1,1.18,0.743,"-",8,2,2.89,2.87,"+"
"68",68,"UHA-0164",8,"UHA-0016",7,7,0,7.93,"UHA-0264",8,8,0,10.4,8.91,"*",8,1,3.95,0.449,"-"
"69",69,"UHA-0165",8,"UHA-0016",7,7,0,4.35,"UHA-0266",8,8,1,1.89,0,"",8,1,2.66,2.66,"+"
